moordemo - Sheet1
kind,capacity,lat,lng
Staple or Inverted-U,2,39.957265,-75.172476
Converted Parking Meter,2,39.9580151,-75.172247
Converted Parking Meter,2,39.9580161,-75.172152
Converted Parking Meter,2,39.9582318,-75.172119
Converted Parking Meter,2,39.9583443,-75.172105
Converted Parking Meter,2,39.958509,-75.172005
Staple or Inverted-U,2,39.9549369,-75.152579
Staple or Inverted-U,2,39.9585781,-75.172052
Staple or Inverted-U,2,39.958611,-75.172291
Staple or Inverted-U,2,39.9585958,-75.172311
Staple or Inverted-U,2,39.9540213,-75.14521
Staple or Inverted-U,2,39.9539978,-75.144956
Staple or Inverted-U,2,39.9538991,-75.144222
Converted Parking Meter,2,39.9539496,-75.144554
Converted Parking Meter,2,39.953864,-75.143938
Staple or Inverted-U,2,39.9538119,-75.143572
Staple or Inverted-U,2,39.9537906,-75.143431
Staple or Inverted-U,2,39.953776,-75.143191
Staple or Inverted-U,2,39.9545698,-75.149691
Staple or Inverted-U,2,39.9545914,-75.149868
Staple or Inverted-U,2,39.9545808,-75.149809
Staple or Inverted-U,2,39.9545836,-75.149747
Converted Parking Meter,2,39.9545809,-75.148676
Converted Parking Meter,2,39.9545591,-75.148396
Staple or Inverted-U,2,39.9541247,-75.145366
Converted Parking Meter,2,39.954092,-75.145093
Converted Parking Meter,2,39.9538067,-75.143549
Staple or Inverted-U,2,39.9537633,-75.143113
Converted Parking Meter,2,39.9540324,-75.145282
Converted Parking Meter,2,39.9541038,-75.14586
Converted Parking Meter,2,39.9545331,-75.146416
